PHYS_GROUP,REQUEST,PROJECT,DESCRIPTION,TASKID,KEYWORDS,TASKNAME,TASK_STATUS,CONTAINER_TYPE,CONTAINER_NAME,TAG_NAME,TRF_NAME,TRF_RELEASE,CAMPAIGN,SUBCAMPAIGN
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11174754,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.simul.e4981_s3156,done,HITS,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.simul.HITS.e4981_s3156/,s3156,Sim_tf.py,21.0.15,MC16,MC16a
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11174758,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.simul.e4981_s3157,done,HITS,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.simul.HITS.e4981_s3157/,s3157,Sim_tf.py,21.0.15,MC16,MC16a
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11315879,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.e4981_s3155_r9470,done,AOD,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.AOD.e4981_s3155_r9470/,r9470,Reco_tf.py,21.0.20,MC16,MC16a
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11315887,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.e4981_s3156_r9468,done,AOD,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.AOD.e4981_s3156_r9468/,r9468,Reco_tf.py,21.0.20,MC16,MC16a
IDTR,11760,mc16_13TeV,MinBias samples for Tracking Efficiency Material Systematics,11315895,,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.e4981_s3157_r9469,done,AOD,mc16_13TeV.361237.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic.recon.AOD.e4981_s3157_r9469/,r9469,Reco_tf.py,21.0.20,MC16,MC16a
IDTR,10260,mc16_13TeV,Single nu with full pile-up truth in MC16,10429677,,mc16_13TeV.159000.ParticleGenerator_nu_E50.recon.e3711_s2997_r9008,done,AOD,mc16_13TeV.159000.ParticleGenerator_nu_E50.recon.AOD.e3711_s2997_r9008/,r9008,Reco_tf.py,21.0.13,MC16,MC16a
IDTR,11920,mc16_13TeV,ttbar MC16 sample with Final 2017 Endcap Pixel condition,11257211,,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9413,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9413/,r9413,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11448,mc16_13TeV,ttbar MC16 samples with <mu>=60 and extra Pixel analog threshold tuning for 2017,11007870,,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9257,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9257/,r9257,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11448,mc16_13TeV,ttbar MC16 samples with <mu>=60 and extra Pixel analog threshold tuning for 2017,11007872,,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9258,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9258/,r9258,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11448,mc16_13TeV,ttbar MC16 samples with <mu>=60 and extra Pixel analog threshold tuning for 2017,11007876,,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9259,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9259/,r9259,Reco_tf.py,21.0.11,MC16,MC16a
