PHYS_GROUP,REQUEST,PROJECT,DESCRIPTION,TASKID,KEYWORDS,TASKNAME,TASK_STATUS,CONTAINER_TYPE,CONTAINER_NAME,TAG_NAME,TRF_NAME,TRF_RELEASE,CAMPAIGN,SUBCAMPAIGN
SIMU,7862,mc16_valid,MC Samples for OFC Checks (Simulation Step),8714800,,mc16_valid.361035.Pythia8EvtGen_A2MSTW2008LO_minbias_inelastic_high.simul.e3581_s2934,finished,HITS,mc16_valid.361035.Pythia8EvtGen_A2MSTW2008LO_minbias_inelastic_high.simul.HITS.e3581_s2934/,s2934,Sim_tf.py,20.3.7.2,MC16,MC16a
SIMU,7862,mc16_valid,MC Samples for OFC Checks (Simulation Step),8753255,,mc16_valid.361034.Pythia8EvtGen_A2MSTW2008LO_minbias_inelastic_low.merge.e3581_s2931_s2939,finished,HITS,mc16_valid.361034.Pythia8EvtGen_A2MSTW2008LO_minbias_inelastic_low.merge.HITS.e3581_s2931_s2939/,s2939,FilterHit_tf.py,20.3.7.1,MC16,MC16a
SIMU,7862,mc16_valid,MC Samples for OFC Checks (Simulation Step),9206236,,mc16_valid.361034.Pythia8EvtGen_A2MSTW2008LO_minbias_inelastic_low.simul.e3581_s2951,done,HITS,mc16_valid.361034.Pythia8EvtGen_A2MSTW2008LO_minbias_inelastic_low.simul.HITS.e3581_s2951/,s2951,Sim_tf.py,20.3.7.2,MC16,MC16a
SIMU,9351,mc16_valid,Minimum Bias Production for MC16 Validation,9671392,,mc16_valid.361034.Pythia8EvtGen_A2MSTW2008LO_minbias_inelastic_low.simul.e3581_s2997,done,HITS,mc16_valid.361034.Pythia8EvtGen_A2MSTW2008LO_minbias_inelastic_low.simul.HITS.e3581_s2997/,s2997,Sim_tf.py,20.3.7.3,MC16,MC16a
SIMU,9760,mc16_valid,Single 50 GeV neutrino ATLFASTII sample for pileup on the fly tests,9978549,,mc16_valid.159000.ParticleGenerator_nu_E50.simul.e3711_a839,done,HITS,mc16_valid.159000.ParticleGenerator_nu_E50.simul.HITS.e3711_a839/,a839,Sim_tf.py,20.20.7.1,MC16,MC16a
TAUP,12128,mc16_13TeV,TauCP samples for MC16a - calibration hits samples for GammaTauTau,11327209,,mc16_13TeV.425200.Pythia8EvtGen_A14NNPDF23LO_Gammatautau_MassWeight.recon.e5468_s3170_r9466,finished,ESD,mc16_13TeV.425200.Pythia8EvtGen_A14NNPDF23LO_Gammatautau_MassWeight.recon.ESD.e5468_s3170_r9466/,r9466,Reco_tf.py,21.0.20,MC16,MC16a
TAUP,12128,mc16_13TeV,TauCP samples for MC16a - calibration hits samples for GammaTauTau,11327209,,mc16_13TeV.425200.Pythia8EvtGen_A14NNPDF23LO_Gammatautau_MassWeight.recon.e5468_s3170_r9466,finished,RDO,mc16_13TeV.425200.Pythia8EvtGen_A14NNPDF23LO_Gammatautau_MassWeight.recon.RDO.e5468_s3170_r9466/,r9466,Reco_tf.py,21.0.20,MC16,MC16a
TAUP,10663,mc16_13TeV,tauCP priority 0+ request : mc16a re-reconstruction of Z->ee and DY-> ee events,10633002,,mc16_13TeV.301017.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_4500M5000.merge.e3649_s2997_r9064_r9078,done,AOD,mc16_13TeV.301017.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_4500M5000.merge.AOD.e3649_s2997_r9064_r9078/,r9078,AODMerge_tf.py,21.0.13.1,MC16,MC16a
TAUP,10666,mc16_13TeV,tauCP priority 0+ request : mc16a re-reconstruction of dijet events,10731056,,mc16_13TeV.361032.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ12W.recon.e3668_s2997_r9129,finished,AOD,mc16_13TeV.361032.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ12W.recon.AOD.e3668_s2997_r9129/,r9129,Reco_tf.py,21.0.13.1,MC16,MC16a
TAUP,10666,mc16_13TeV,tauCP priority 0+ request : mc16a re-reconstruction of dijet events,10805330,,mc16_13TeV.361032.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ12W.recon.e3668_s2997_r9172,done,AOD,mc16_13TeV.361032.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ12W.recon.AOD.e3668_s2997_r9172/,r9172,Reco_tf.py,21.0.13.1,MC16,MC16a
TAUP,10664,mc16_13TeV,tauCP priority 0+ request : mc16a re-reconstruction of gamma*->tautau training sample,10584250,,mc16_13TeV.425200.Pythia8EvtGen_A14NNPDF23LO_Gammatautau_MassWeight.recon.e5468_s2997_r9064,done,AOD,mc16_13TeV.425200.Pythia8EvtGen_A14NNPDF23LO_Gammatautau_MassWeight.recon.AOD.e5468_s2997_r9064/,r9064,Reco_tf.py,21.0.13.1,MC16,MC16a
TAUP,12012,mc16_13TeV,tauCP request: MC16a Systematic Sample - Different Physics List,11294392,,mc16_13TeV.301044.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_600M800.simul.e3649_s3169,done,HITS,mc16_13TeV.301044.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_600M800.simul.HITS.e3649_s3169/,s3169,Sim_tf.py,21.0.15,MC16,MC16a
TRIG,11107,mc16_13TeV,A new digi plus reco sample T for trigger group,10861838,"Pythia8EvtGen, QCD, SM, jets, mc16campaign",mc16_13TeV.361021.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1W.recon.e4397_s2997_r9191,done,AOD,mc16_13TeV.361021.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1W.recon.AOD.e4397_s2997_r9191/,r9191,Reco_tf.py,21.0.16,MC16,MC16a
TRIG,11107,mc16_13TeV,A new digi plus reco sample T for trigger group,11036182,,mc16_13TeV.302067.ParticleGun_single_magneticMonopole.simul.e4397_s3139,done,HITS,mc16_13TeV.302067.ParticleGun_single_magneticMonopole.simul.HITS.e4397_s3139/,s3139,Sim_tf.py,20.3.7.7,MC16,MC16a
TRIG,10398,mc16_13TeV,Digi+Reco sample T,10340303,,mc16_13TeV.300001.Pythia8BPhotospp_A14_CTEQ6L1_pp_Jpsimu4mu4.merge.e4397_s2997_r8957_r8996,done,AOD,mc16_13TeV.300001.Pythia8BPhotospp_A14_CTEQ6L1_pp_Jpsimu4mu4.merge.AOD.e4397_s2997_r8957_r8996/,r8996,AODMerge_tf.py,21.0.13,MC16,MC16a
VALI,11523,mc16_valid,*urgent priority 0+* ttbar samples with full pileup truth at mu=60 and with MC16 and special ID conditions - reco with valid=True,11046035,,mc16_valid.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9273_p3086,done,NTUP_PHYSVAL,mc16_valid.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.NTUP_PHYSVAL.e3698_s2995_r9273_p3086/,p3086,Reco_tf.py,21.0.19,MC16,MC16a
TRIG,12281,mc16_13TeV,A small FTK MC16b ttbar production test with New MC patterns,11426804,,mc16_13TeV.410501.PowhegPythia8EvtGen_A14_ttbar_hdamp258p75_nonallhad.merge.e5458_s3126_d1437,done,RDO,mc16_13TeV.410501.PowhegPythia8EvtGen_A14_ttbar_hdamp258p75_nonallhad.merge.RDO.e5458_s3126_d1437/,d1437,Reco_tf.py,21.0.24,MC16,MC16b
TRIG,12281,mc16_13TeV,A small FTK MC16b ttbar production test with New MC patterns,11426807,,mc16_13TeV.410501.PowhegPythia8EvtGen_A14_ttbar_hdamp258p75_nonallhad.digit.e5458_s3126_d1437_d1435,done,RDO_FTK,mc16_13TeV.410501.PowhegPythia8EvtGen_A14_ttbar_hdamp258p75_nonallhad.digit.RDO_FTK.e5458_s3126_d1437_d1435/,d1435,TrigFTKTM64SM1Un_tf.py,21.0.24,MC16,MC16b
TRIG,12251,mc16_13TeV,Fisrt full MC16 digi+reco sample T production,11372426,,mc16_13TeV.303137.MGPy8EG_N30LO_A14N23LO_DM_BBscalar_p20_c1.recon.e4189_s3126_r9546,done,AOD,mc16_13TeV.303137.MGPy8EG_N30LO_A14N23LO_DM_BBscalar_p20_c1.recon.AOD.e4189_s3126_r9546/,r9546,Reco_tf.py,21.0.23,MC16,MC16b
