CAMPAIGN,SUBCAMPAING,PHYS_GROUP,PROJECT,STEP,REQUEST,STATUS,TASK_ID,TASKNAME,HASHTAG_LIST,EVENTS_TOTAL,T_EVENTS_REQUESTED,T_STAMP
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10863300,mc16_13TeV.361027.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",10000,200000,2017-03-06 11:14:54.747774
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10844224,mc16_13TeV.361022.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,200000,2017-03-02 10:14:31.548379
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10844236,mc16_13TeV.361023.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,500000,2017-03-02 10:14:31.554313
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10844251,mc16_13TeV.361024.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,500000,2017-03-02 10:14:31.563427
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10844281,mc16_13TeV.361026.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6W.recon.e3569_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,200000,2017-03-02 10:14:31.569837
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10844312,mc16_13TeV.361028.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8W.recon.e3569_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,200000,2017-03-02 10:14:31.577381
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10844337,mc16_13TeV.361023.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,4500000,2017-03-02 10:14:31.583621
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10844374,mc16_13TeV.361025.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,4500000,2017-03-02 10:14:31.594235
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10851128,mc16_13TeV.361026.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6W.recon.e3569_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,1793000,2017-03-02 10:14:31.917963
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10863193,mc16_13TeV.361022.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,1794000,2017-03-02 14:39:22.364778
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,aborted,10863205,mc16_13TeV.361027.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W.recon.e3668_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",9000,1792000,2017-03-06 11:14:54.732986
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,finished,10863217,mc16_13TeV.361028.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8W.recon.e3569_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",1790000,1791000,2017-06-29 13:15:18.860990
mc16,mc16a,IDTR,mc16_13TeV,Reco,11131,finished,10863313,mc16_13TeV.361028.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8W.recon.e3569_s2997_r9186,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",199000,200000,2017-06-29 13:15:18.867623
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803456,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9165,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",20000,20000,2017-06-28 09:14:06.407936
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803464,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9166,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",20000,20000,2017-03-05 20:15:23.940252
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803471,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9167,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",20000,20000,2017-06-28 09:14:06.409002
mc16,mc16a,IDTR,mc16_13TeV,Reco,11133,done,10803477,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9168,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",20000,20000,2017-03-06 07:35:57.097246
