PR_ID,DESCRIPTION,REFERENCE_LINK,PHYS_GROUP,ENERGY_GEV,PROJECT
11692,MC16 ttbar sample with Pixel 30% endcap disabled,https://its.cern.ch/jira/browse/ATLMCPROD-4580,IDTR,13000,mc16_13TeV
11855,MC16b HITS samples for FTK studies,https://its.cern.ch/jira/browse/ATLMCPROD-4636,TRIG,13000,mc16_13TeV
11740,Special MinBias MC16 sample for Tracking Efficiency Physics List Systematics,https://its.cern.ch/jira/browse/ATLMCPROD-4606,IDTR,13000,mc16_13TeV
11963,Single nu sample with wide pile-up range and full pile-up truth in final MC16 configuration,https://its.cern.ch/jira/browse/ATLMCPROD-4628,IDTR,13000,mc16_13TeV
11920,ttbar MC16 sample with Final 2017 Endcap Pixel condition,https://its.cern.ch/jira/browse/ATLMCPROD-4647,IDTR,13000,mc16_13TeV
11678,Min Bias Samples for Tracking Efficiency recommendations,https://its.cern.ch/jira/browse/ATLMCPROD-4587,IDTR,13000,mc16_13TeV
12128,TauCP samples for MC16a - calibration hits samples for GammaTauTau,https://its.cern.ch/jira/browse/ATLMCPROD-4705,TAUP,13000,mc16_13TeV
12014,tauCP request: MC16a Systematic Sample - Different generator configurations,https://its.cern.ch/jira/browse/ATLMCPROD-4686,TAUP,13000,mc16_13TeV
11756,MC16 MinBias sample for Tracking Efficiency Pile-up Systematics study,https://its.cern.ch/jira/browse/ATLMCPROD-4610,IDTR,13000,mc16_13TeV
11359,MC16a sheet 10,,MCGN,13000,mc16_13TeV
11448,ttbar MC16 samples with <mu>=60 and extra Pixel analog threshold tuning for 2017,https://its.cern.ch/jira/browse/ATLMCPROD-4489,IDTR,13000,mc16_13TeV
11869,reconstruction of single-particles with Release 21,https://its.cern.ch/jira/browse/ATLMCPROD-4537,EGAM,13000,mc16_13TeV
