REQUEST_ID,DESCRIPTION,REFERENCE_LINK,PHYS_GROUP,ENERGY_GEV,PROJECT,STEP,TASKID,STATUS,TIMESTAMP,CONTAINER_NAME,CONTAINER_TYPE,HASHTAG_LIST
11034,MC16a sheet 1,https://its.cern.ch/jira/browse/ATLMCPROD-4337,MCGN,13000,mc16_13TeV,simul,10730099,done,2017-06-23 16:11:31.408373,mc16_13TeV.301054.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_3000M3500.simul.HITS.e3649_s3126/,HITS,"2tau, MC16a_CP, MC16a_HPC, NLO, PowhegPythia8EvtGen, SM, Z, drellYan, electroweak, mc16campaign"
11034,MC16a sheet 1,https://its.cern.ch/jira/browse/ATLMCPROD-4337,MCGN,13000,mc16_13TeV,simul,10730133,done,2017-06-23 16:11:31.421312,mc16_13TeV.423105.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP280_500.simul.log.e3791_s3126/,log,"GammaJets, MC16a_CP, MC16a_HPC, Pythia8EvtGen, QCD, egamma, jets, mc16campaign, performance, photon"
11034,MC16a sheet 1,https://its.cern.ch/jira/browse/ATLMCPROD-4337,MCGN,13000,mc16_13TeV,simul,10730144,done,2017-02-25 06:17:30.032655,mc16_13TeV.423109.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1500_2000.simul.HITS.e4453_s3126/,HITS,"GammaJets, MC16a_CP, MC16a_HPC, Pythia8EvtGen, QCD, egamma, jets, mc16campaign, performance, photon"
11034,MC16a sheet 1,https://its.cern.ch/jira/browse/ATLMCPROD-4337,MCGN,13000,mc16_13TeV,simul,10730146,done,2017-02-27 07:35:21.318673,mc16_13TeV.423110.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2000_2500.simul.log.e4453_s3126/,log,"GammaJets, MC16a_CP, MC16a_HPC, Pythia8EvtGen, QCD, egamma, jets, mc16campaign, performance, photon"
11034,MC16a sheet 1,https://its.cern.ch/jira/browse/ATLMCPROD-4337,MCGN,13000,mc16_13TeV,simul,10730169,done,2017-06-23 16:11:31.435963,mc16_13TeV.424100.Pythia8B_A14_CTEQ6L1_Jpsimu4mu4.simul.log.e3735_s3126/,log,"2muon, BPhysics, MC16a_CP, MC16a_HPC, Pythia8B, charmonium, inclusive, mc16campaign"
11034,MC16a sheet 1,https://its.cern.ch/jira/browse/ATLMCPROD-4337,MCGN,13000,mc16_13TeV,simul,10730172,done,2017-06-23 16:11:31.437503,mc16_13TeV.424102.Pythia8B_A14_CTEQ6L1_Upsilon1S_mu4mu4.simul.HITS.e4293_s3126/,HITS,"2muon, BPhysics, MC16a_CP, MC16a_HPC, Pythia8B, bottomonium, inclusive, mc16campaign"
11048,MC16a sheet 2,,MCGN,13000,mc16_13TeV,simul,10730211,done,2017-06-23 16:11:31.442230,mc16_13TeV.301223.Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_mumu_E6Chi5000.simul.log.e3990_s3126/,log,"2muon, BSM, MC16a_CP, Pythia8EvtGen, Zprime, electroweak, exotic, heavyBoson, mc16campaign, resonance"
11048,MC16a sheet 2,,MCGN,13000,mc16_13TeV,simul,10730214,finished,2017-06-23 16:11:31.443733,mc16_13TeV.361027.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W.simul.HITS.e3668_s3126/,HITS,"MC16a_CP, Pythia8EvtGen, QCD, SM, jets, mc16campaign, multijet"
11052,MC16a sheet 6,,MCGN,13000,mc16_13TeV,simul,10730245,done,2017-06-23 16:11:31.444931,mc16_13TeV.364189.Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_BFilter.simul.log.e5340_s3126/,log,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, tau"
11052,MC16a sheet 6,,MCGN,13000,mc16_13TeV,simul,10730249,done,2017-06-23 16:11:31.447725,mc16_13TeV.364191.Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_CFilterBVeto.simul.HITS.e5340_s3126/,HITS,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, tau"
11052,MC16a sheet 6,,MCGN,13000,mc16_13TeV,simul,10730276,done,2017-06-23 16:11:31.458852,mc16_13TeV.364199.Sherpa_221_NN30NNLO_Zmm_Mll10_40_MAXHTPTV0_70_BFilter.simul.HITS.e5421_s3126/,HITS,"2muon, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11052,MC16a sheet 6,,MCGN,13000,mc16_13TeV,simul,10730283,done,2017-06-23 16:11:31.462525,mc16_13TeV.364201.Sherpa_221_NN30NNLO_Zmm_Mll10_40_MAXHTPTV70_280_BFilter.simul.log.e5421_s3126/,log,"2muon, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11052,MC16a sheet 6,,MCGN,13000,mc16_13TeV,simul,10730300,done,2017-06-23 16:11:31.472251,mc16_13TeV.364204.Sherpa_221_NN30NNLO_Zee_Mll10_40_MAXHTPTV0_70_BVeto.simul.log.e5421_s3126/,log,"2electron, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11052,MC16a sheet 6,,MCGN,13000,mc16_13TeV,simul,10730317,done,2017-06-23 16:11:31.481329,mc16_13TeV.364207.Sherpa_221_NN30NNLO_Zee_Mll10_40_MAXHTPTV70_280_BFilter.simul.HITS.e5421_s3126/,HITS,"2electron, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730351,done,2017-06-23 16:11:31.499061,mc16_13TeV.364137.Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_CVetoBVeto.simul.log.e5307_s3126/,log,"2tau, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730363,done,2017-06-23 16:11:31.505747,mc16_13TeV.364139.Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV280_500_BFilter.simul.HITS.e5313_s3126/,HITS,"2tau, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11052,MC16a sheet 6,,MCGN,13000,mc16_13TeV,simul,10730377,done,2017-06-23 16:11:31.514850,mc16_13TeV.426135.Sherpa_CT10_jets_JZ5.simul.HITS.e4355_s3126/,HITS,"MC16a_CP, NLO, QCD, SM, Sherpa, jets, mc16campaign, multijet"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730390,done,2017-06-23 16:11:31.523114,mc16_13TeV.364156.Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CVetoBVeto.simul.HITS.e5340_s3126/,HITS,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, muon"
11052,MC16a sheet 6,,MCGN,13000,mc16_13TeV,simul,10730392,done,2017-06-23 16:11:31.524623,mc16_13TeV.426137.Sherpa_CT10_jets_JZ7.simul.HITS.e4635_s3126/,HITS,"MC16a_CP, Sherpa, mc16campaign, multijet"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730408,done,2017-06-23 16:11:31.531388,mc16_13TeV.364158.Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_BFilter.simul.HITS.e5340_s3126/,HITS,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, muon"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730408,done,2017-06-23 16:11:31.531388,mc16_13TeV.364158.Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_BFilter.simul.log.e5340_s3126/,log,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, muon"
11052,MC16a sheet 6,,MCGN,13000,mc16_13TeV,simul,10730410,finished,2017-06-23 16:11:31.532759,mc16_13TeV.426139.Sherpa_CT10_jets_JZ9.simul.log.e4635_s3126/,log,"MC16a_CP, Sherpa, mc16campaign, multijet"
11052,MC16a sheet 6,,MCGN,13000,mc16_13TeV,simul,10730422,done,2017-06-23 16:11:31.539564,mc16_13TeV.426141.Sherpa_CT10_jets_JZ11.simul.log.e4635_s3126/,log,"MC16a_CP, Sherpa, mc16campaign, multijet"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730432,done,2017-06-23 16:11:31.543324,mc16_13TeV.364160.Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CFilterBVeto.simul.log.e5340_s3126/,log,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, muon"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730432,done,2017-06-23 16:11:31.543324,mc16_13TeV.364160.Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CFilterBVeto.simul.HITS.e5340_s3126/,HITS,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, muon"
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10730434,done,2017-06-23 16:11:31.544508,mc16_13TeV.344779.Sherpa_221_NNPDF30NNLO_Ztautau_MAXHTPTV70_140_h30h20.simul.HITS.e5585_s3126/,HITS,"2tau, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730443,done,2017-06-23 16:11:31.548120,mc16_13TeV.364161.Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_BFilter.simul.HITS.e5340_s3126/,HITS,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, muon"
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10730455,done,2017-06-23 16:11:31.552853,mc16_13TeV.345099.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_VBFfilt.simul.HITS.e5679_s3126/,HITS,"2muon, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10730455,done,2017-06-23 16:11:31.552853,mc16_13TeV.345099.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_VBFfilt.simul.log.e5679_s3126/,log,"2muon, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730470,done,2017-06-23 16:11:31.557240,mc16_13TeV.364164.Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_BFilter.simul.HITS.e5340_s3126/,HITS,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, muon"
